index,datetime,predict2,CashType
184167,2018-04-02 13:30:00,-1.0,return
184168,2018-04-02 14:00:00,-1.0,return
184169,2018-04-02 14:30:00,-1.0,return
184170,2018-04-02 15:00:00,-1.0,return
184171,2018-04-02 15:30:00,-1.0,return
184172,2018-04-02 16:00:00,-1.0,return
184173,2018-04-02 16:30:00,-1.0,return
184174,2018-04-02 17:00:00,-1.0,return
184175,2018-04-02 17:30:00,-1.0,return
184176,2018-04-02 18:00:00,-1.0,return
184177,2018-04-02 18:30:00,-1.0,return
184178,2018-04-02 19:00:00,-1.0,return
184179,2018-04-02 19:30:00,-1.0,return
184180,2018-04-02 20:00:00,-1.0,return
184181,2018-04-02 20:30:00,-1.0,return
184182,2018-04-02 21:00:00,-1.0,return
184183,2018-04-02 21:30:00,-1.0,return
184184,2018-04-02 22:00:00,-1.0,return
184185,2018-04-02 22:30:00,-1.0,return
184186,2018-04-02 23:00:00,-1.0,return
184187,2018-04-02 23:30:00,-1.0,return
184188,2018-04-02 00:00:00,7.162174415588379,usual
184189,2018-04-02 07:00:00,62.89656143188476,usual
184190,2018-04-02 07:30:00,94.63270416259766,usual
184191,2018-04-02 08:00:00,103.20171661376953,usual
184192,2018-04-02 08:30:00,107.48116912841797,usual
184193,2018-04-02 09:00:00,139.30736694335937,usual
184194,2018-04-02 09:30:00,156.80521240234376,usual
184195,2018-04-02 10:00:00,182.72490844726562,usual
184196,2018-04-02 10:30:00,186.43421020507813,usual
184197,2018-04-02 11:00:00,216.49695739746093,usual
184198,2018-04-02 11:30:00,214.68743591308595,usual
184199,2018-04-02 12:00:00,226.46343383789062,usual
184200,2018-04-02 12:30:00,223.5634338378906,usual
184201,2018-04-02 13:00:00,226.76482849121095,usual
184202,2018-04-02 13:30:00,232.36482849121094,usual
184203,2018-04-02 14:00:00,228.28850402832032,usual
184204,2018-04-02 14:30:00,227.28850402832032,usual
184205,2018-04-02 15:00:00,225.07149963378907,usual
184206,2018-04-02 15:30:00,220.27149963378906,usual
184207,2018-04-02 16:00:00,199.47578125,usual
184208,2018-04-02 16:30:00,193.11860046386718,usual
184209,2018-04-02 17:00:00,183.59097900390626,usual
184210,2018-04-02 17:30:00,179.55657348632812,usual
184211,2018-04-02 18:00:00,173.3272705078125,usual
184212,2018-04-02 18:30:00,165.09288024902344,usual
184213,2018-04-02 19:00:00,153.47399291992187,usual
184214,2018-04-02 19:30:00,145.93960266113282,usual
184215,2018-04-02 20:00:00,142.28721618652344,usual
184216,2018-04-02 20:30:00,141.53243103027344,usual
184217,2018-04-02 21:00:00,136.3721176147461,usual
184218,2018-04-02 21:30:00,130.4778259277344,usual
184219,2018-04-02 22:00:00,113.19277496337891,usual
184220,2018-04-02 22:30:00,103.25419921875,usual
184221,2018-04-02 23:00:00,73.09926910400391,usual
184222,2018-04-02 23:30:00,56.13021545410156,usual
184223,2018-04-02 00:00:00,-1.0,give
184224,2018-04-02 07:00:00,-1.0,give
184225,2018-04-02 07:30:00,-1.0,give
184226,2018-04-02 08:00:00,-1.0,give
184227,2018-04-02 08:30:00,-1.0,give
184228,2018-04-02 09:00:00,-1.0,give
184229,2018-04-02 09:30:00,-1.0,give
184230,2018-04-02 10:00:00,-1.0,give
184231,2018-04-02 10:30:00,-1.0,give
184232,2018-04-02 11:00:00,-1.0,give
184233,2018-04-02 11:30:00,-1.0,give
184234,2018-04-02 12:00:00,-1.0,give
184235,2018-04-02 12:30:00,-1.0,give
184236,2018-04-02 13:00:00,-1.0,give
184237,2018-04-02 13:30:00,-1.0,give
184238,2018-04-02 14:00:00,-1.0,give
184239,2018-04-02 14:30:00,-1.0,give
184240,2018-04-02 15:00:00,-1.0,give
184241,2018-04-02 15:30:00,-1.0,give
184242,2018-04-02 16:00:00,-1.0,give
184243,2018-04-02 16:30:00,-1.0,give
184244,2018-04-02 17:00:00,-1.0,give
184245,2018-04-02 17:30:00,-1.0,give
184246,2018-04-02 18:00:00,-1.0,give
184247,2018-04-02 18:30:00,-1.0,give
184248,2018-04-02 19:00:00,-1.0,give
184249,2018-04-02 19:30:00,-1.0,give
184250,2018-04-02 20:00:00,-1.0,give
184251,2018-04-02 20:30:00,-1.0,give
184252,2018-04-02 21:00:00,-1.0,give
184253,2018-04-02 21:30:00,-1.0,give
184254,2018-04-02 22:00:00,-1.0,give
184255,2018-04-02 22:30:00,-1.0,give
184256,2018-04-02 23:00:00,-1.0,give
184257,2018-04-02 23:30:00,-1.0,give
184258,2018-04-02 00:00:00,-1.0,info
184259,2018-04-02 07:00:00,-1.0,info
184260,2018-04-02 07:30:00,-1.0,info
184261,2018-04-02 08:00:00,-1.0,info
184262,2018-04-02 08:30:00,-1.0,info
184263,2018-04-02 09:00:00,-1.0,info
184264,2018-04-02 09:30:00,-1.0,info
184265,2018-04-02 10:00:00,-1.0,info
184266,2018-04-02 10:30:00,-1.0,info
184267,2018-04-02 11:00:00,-1.0,info
184268,2018-04-02 11:30:00,-1.0,info
184269,2018-04-02 12:00:00,-1.0,info
184270,2018-04-02 12:30:00,-1.0,info
184271,2018-04-02 13:00:00,-1.0,info
184272,2018-04-02 13:30:00,-1.0,info
184273,2018-04-02 14:00:00,-1.0,info
184274,2018-04-02 14:30:00,-1.0,info
184275,2018-04-02 15:00:00,-1.0,info
184276,2018-04-02 15:30:00,-1.0,info
184277,2018-04-02 16:00:00,-1.0,info
184278,2018-04-02 16:30:00,-1.0,info
184279,2018-04-02 17:00:00,-1.0,info
184280,2018-04-02 17:30:00,-1.0,info
184281,2018-04-02 18:00:00,-1.0,info
184282,2018-04-02 18:30:00,-1.0,info
184283,2018-04-02 19:00:00,-1.0,info
184284,2018-04-02 19:30:00,-1.0,info
184285,2018-04-02 20:00:00,-1.0,info
184286,2018-04-02 20:30:00,-1.0,info
184287,2018-04-02 21:00:00,-1.0,info
184288,2018-04-02 21:30:00,-1.0,info
184289,2018-04-02 22:00:00,-1.0,info
184290,2018-04-02 22:30:00,-1.0,info
184291,2018-04-02 23:00:00,-1.0,info
184292,2018-04-02 23:30:00,-1.0,info
184293,2018-04-02 00:00:00,-1.0,extra
184294,2018-04-02 07:00:00,-1.0,extra
184295,2018-04-02 07:30:00,-1.0,extra
184296,2018-04-02 08:00:00,-1.0,extra
184297,2018-04-02 08:30:00,-1.0,extra
184298,2018-04-02 09:00:00,-1.0,extra
184299,2018-04-02 09:30:00,-1.0,extra
184300,2018-04-02 10:00:00,-1.0,extra
184301,2018-04-02 10:30:00,-1.0,extra
184302,2018-04-02 11:00:00,-1.0,extra
184303,2018-04-02 11:30:00,-1.0,extra
184304,2018-04-02 12:00:00,-1.0,extra
184305,2018-04-02 12:30:00,-1.0,extra
184306,2018-04-02 13:00:00,-1.0,extra
184307,2018-04-02 13:30:00,-1.0,extra
184308,2018-04-02 14:00:00,-1.0,extra
184309,2018-04-02 14:30:00,-1.0,extra
184310,2018-04-02 15:00:00,-1.0,extra
184311,2018-04-02 15:30:00,-1.0,extra
184312,2018-04-02 16:00:00,-1.0,extra
184313,2018-04-02 16:30:00,-1.0,extra
184314,2018-04-02 17:00:00,-1.0,extra
184315,2018-04-02 17:30:00,-1.0,extra
184316,2018-04-02 18:00:00,-1.0,extra
184317,2018-04-02 18:30:00,-1.0,extra
184318,2018-04-02 19:00:00,-1.0,extra
184319,2018-04-02 19:30:00,-1.0,extra
184320,2018-04-02 20:00:00,-1.0,extra
184321,2018-04-02 20:30:00,-1.0,extra
184322,2018-04-02 21:00:00,-1.0,extra
184323,2018-04-02 21:30:00,-1.0,extra
184324,2018-04-02 22:00:00,-1.0,extra
184325,2018-04-02 22:30:00,-1.0,extra
184326,2018-04-02 23:00:00,-1.0,extra
184327,2018-04-02 23:30:00,-1.0,extra
184328,2018-04-03 00:00:00,-1.0,deli
184329,2018-04-03 07:00:00,-1.0,deli
184330,2018-04-03 07:30:00,-1.0,deli
184331,2018-04-03 08:00:00,-1.0,deli
184332,2018-04-03 08:30:00,-1.0,deli
184333,2018-04-03 09:00:00,-1.0,deli
184334,2018-04-03 09:30:00,-1.0,deli
184335,2018-04-03 10:00:00,-1.0,deli
184336,2018-04-03 10:30:00,-1.0,deli
184337,2018-04-03 11:00:00,-1.0,deli
184338,2018-04-03 11:30:00,-1.0,deli
184339,2018-04-03 12:00:00,-1.0,deli
184340,2018-04-03 12:30:00,-1.0,deli
184341,2018-04-03 13:00:00,-1.0,deli
184342,2018-04-03 13:30:00,-1.0,deli
184343,2018-04-03 14:00:00,-1.0,deli
184344,2018-04-03 14:30:00,-1.0,deli
184345,2018-04-03 15:00:00,-1.0,deli
184346,2018-04-03 15:30:00,-1.0,deli
184347,2018-04-03 16:00:00,-1.0,deli
184348,2018-04-03 16:30:00,-1.0,deli
184349,2018-04-03 17:00:00,-1.0,deli
184350,2018-04-03 17:30:00,-1.0,deli
184351,2018-04-03 18:00:00,-1.0,deli
184352,2018-04-03 18:30:00,-1.0,deli
184353,2018-04-03 19:00:00,-1.0,deli
184354,2018-04-03 19:30:00,-1.0,deli
184355,2018-04-03 20:00:00,-1.0,deli
184356,2018-04-03 20:30:00,-1.0,deli
184357,2018-04-03 21:00:00,-1.0,deli
184358,2018-04-03 21:30:00,-1.0,deli
184359,2018-04-03 22:00:00,-1.0,deli
